'Name';'Constraint template';'Implying activity';'Implied activity';'Support';'Confidence level';'Interest factor'
'ChainPrecedence(Hello, A)';'ChainPrecedence';'A';'Hello';0.005;0.000;0.000
'Precedence(Query, A)';'Precedence';'A';'Query';99.269;98.987;96.370
'AlternatePrecedence(Query, A)';'AlternatePrecedence';'A';'Query';36.532;36.428;35.465
'ChainPrecedence(Query, A)';'ChainPrecedence';'A';'Query';34.424;34.327;33.419
'Precedence(Request, A)';'Precedence';'A';'Request';100.000;100.000;97.356
'AlternatePrecedence(Request, A)';'AlternatePrecedence';'A';'Request';12.212;12.212;11.889
'ChainPrecedence(Request, A)';'ChainPrecedence';'A';'Request';1.392;1.392;1.356
'Precedence(Response, A)';'Precedence';'A';'Response';35.594;15.041;14.643
'AlternatePrecedence(Response, A)';'AlternatePrecedence';'A';'Response';4.730;1.999;1.946
'ChainPrecedence(Response, A)';'ChainPrecedence';'A';'Response';0.233;0.098;0.096
'AtMostOne(Bye)';'AtMostOne';'Bye';'';99.197;99.104;99.010
'End(Bye)';'End';'Bye';'';99.906;99.811;99.717
'Init(Bye)';'Init';'Bye';'';0.000;0.000;0.000
'Participation(Bye)';'Participation';'Bye';'';99.906;99.811;99.717
'Precedence(A, Bye)';'Precedence';'Bye';'A';97.375;94.800;94.710
'AlternatePrecedence(A, Bye)';'AlternatePrecedence';'Bye';'A';97.000;94.435;94.346
'ChainPrecedence(A, Bye)';'ChainPrecedence';'Bye';'A';94.609;92.107;92.020
'CoExistence(Bye, A)';'CoExistence';'Bye';'A';99.689;97.053;96.962
'Succession(Bye, A)';'Succession';'Bye';'A';0.359;0.350;0.350
'AlternateSuccession(Bye, A)';'AlternateSuccession';'Bye';'A';0.078;0.076;0.076
'ChainSuccession(Bye, A)';'ChainSuccession';'Bye';'A';0.068;0.066;0.066
'RespondedExistence(Bye, A)';'RespondedExistence';'Bye';'A';97.375;97.283;94.710
'Response(Bye, A)';'Response';'Bye';'A';0.375;0.375;0.365
'AlternateResponse(Bye, A)';'AlternateResponse';'Bye';'A';0.375;0.375;0.365
'ChainResponse(Bye, A)';'ChainResponse';'Bye';'A';0.328;0.328;0.319
'NotChainSuccession(Bye, A)';'NotChainSuccession';'Bye';'A';99.932;97.290;97.198
'NotSuccession(Bye, A)';'NotSuccession';'Bye';'A';99.641;97.006;96.915
'NotCoExistence(Bye, A)';'NotCoExistence';'Bye';'A';0.311;0.303;0.302
'CoExistence(Bye, Feedback)';'CoExistence';'Bye';'Feedback';44.856;11.076;11.066
'Succession(Bye, Feedback)';'Succession';'Bye';'Feedback';0.137;0.034;0.034
'AlternateSuccession(Bye, Feedback)';'AlternateSuccession';'Bye';'Feedback';0.137;0.034;0.034
'ChainSuccession(Bye, Feedback)';'ChainSuccession';'Bye';'Feedback';0.000;0.000;0.000
'RespondedExistence(Bye, Feedback)';'RespondedExistence';'Bye';'Feedback';24.707;24.684;6.095
'Response(Bye, Feedback)';'Response';'Bye';'Feedback';0.094;0.094;0.023
'AlternateResponse(Bye, Feedback)';'AlternateResponse';'Bye';'Feedback';0.094;0.094;0.023
'ChainResponse(Bye, Feedback)';'ChainResponse';'Bye';'Feedback';0.000;0.000;0.000
'NotChainSuccession(Bye, Feedback)';'NotChainSuccession';'Bye';'Feedback';100.000;24.693;24.670
'NotSuccession(Bye, Feedback)';'NotSuccession';'Bye';'Feedback';99.863;24.659;24.636
'NotCoExistence(Bye, Feedback)';'NotCoExistence';'Bye';'Feedback';55.144;13.617;13.604
'CoExistence(Bye, Hello)';'CoExistence';'Bye';'Hello';8.311;0.357;0.357
'Succession(Bye, Hello)';'Succession';'Bye';'Hello';0.000;0.000;0.000
'AlternateSuccession(Bye, Hello)';'AlternateSuccession';'Bye';'Hello';0.000;0.000;0.000
'ChainSuccession(Bye, Hello)';'ChainSuccession';'Bye';'Hello';0.000;0.000;0.000
'RespondedExistence(Bye, Hello)';'RespondedExistence';'Bye';'Hello';4.313;4.309;0.185
'Response(Bye, Hello)';'Response';'Bye';'Hello';0.000;0.000;0.000
'AlternateResponse(Bye, Hello)';'AlternateResponse';'Bye';'Hello';0.000;0.000;0.000
'ChainResponse(Bye, Hello)';'ChainResponse';'Bye';'Hello';0.000;0.000;0.000
'NotChainSuccession(Bye, Hello)';'NotChainSuccession';'Bye';'Hello';100.000;4.297;4.292
'NotSuccession(Bye, Hello)';'NotSuccession';'Bye';'Hello';100.000;4.297;4.292
'NotCoExistence(Bye, Hello)';'NotCoExistence';'Bye';'Hello';91.689;3.939;3.936
'CoExistence(Bye, Query)';'CoExistence';'Bye';'Query';99.832;99.549;99.455
'Succession(Bye, Query)';'Succession';'Bye';'Query';0.095;0.095;0.095
'AlternateSuccession(Bye, Query)';'AlternateSuccession';'Bye';'Query';0.044;0.044;0.044
'ChainSuccession(Bye, Query)';'ChainSuccession';'Bye';'Query';0.000;0.000;0.000
'RespondedExistence(Bye, Query)';'RespondedExistence';'Bye';'Query';99.719;99.625;99.342
'Response(Bye, Query)';'Response';'Bye';'Query';0.141;0.141;0.140
'AlternateResponse(Bye, Query)';'AlternateResponse';'Bye';'Query';0.141;0.141;0.140
'ChainResponse(Bye, Query)';'ChainResponse';'Bye';'Query';0.000;0.000;0.000
'NotChainSuccession(Bye, Query)';'NotChainSuccession';'Bye';'Query';100.000;99.717;99.623
'NotSuccession(Bye, Query)';'NotSuccession';'Bye';'Query';99.905;99.622;99.528
'NotCoExistence(Bye, Query)';'NotCoExistence';'Bye';'Query';0.168;0.168;0.168
'CoExistence(Bye, Request)';'CoExistence';'Bye';'Request';99.913;99.819;99.819
'Succession(Bye, Request)';'Succession';'Bye';'Request';0.248;0.247;0.247
'AlternateSuccession(Bye, Request)';'AlternateSuccession';'Bye';'Request';0.223;0.223;0.223
'ChainSuccession(Bye, Request)';'ChainSuccession';'Bye';'Request';0.223;0.223;0.223
'RespondedExistence(Bye, Request)';'RespondedExistence';'Bye';'Request';100.000;99.906;99.906
'Response(Bye, Request)';'Response';'Bye';'Request';0.422;0.422;0.422
'AlternateResponse(Bye, Request)';'AlternateResponse';'Bye';'Request';0.422;0.422;0.422
'ChainResponse(Bye, Request)';'ChainResponse';'Bye';'Request';0.422;0.422;0.422
'NotChainSuccession(Bye, Request)';'NotChainSuccession';'Bye';'Request';99.777;99.683;99.683
'NotSuccession(Bye, Request)';'NotSuccession';'Bye';'Request';99.752;99.658;99.658
'NotCoExistence(Bye, Request)';'NotCoExistence';'Bye';'Request';0.087;0.087;0.087
'CoExistence(Bye, Response)';'CoExistence';'Bye';'Response';69.139;29.216;29.188
'Succession(Bye, Response)';'Succession';'Bye';'Response';0.149;0.063;0.063
'AlternateSuccession(Bye, Response)';'AlternateSuccession';'Bye';'Response';0.099;0.042;0.042
'ChainSuccession(Bye, Response)';'ChainSuccession';'Bye';'Response';0.050;0.021;0.021
'RespondedExistence(Bye, Response)';'RespondedExistence';'Bye';'Response';42.194;42.154;17.813
'Response(Bye, Response)';'Response';'Bye';'Response';0.094;0.094;0.040
'AlternateResponse(Bye, Response)';'AlternateResponse';'Bye';'Response';0.094;0.094;0.040
'ChainResponse(Bye, Response)';'ChainResponse';'Bye';'Response';0.047;0.047;0.020
'NotChainSuccession(Bye, Response)';'NotChainSuccession';'Bye';'Response';99.950;42.236;42.196
'NotSuccession(Bye, Response)';'NotSuccession';'Bye';'Response';99.851;42.194;42.154
'NotCoExistence(Bye, Response)';'NotCoExistence';'Bye';'Response';30.861;13.041;13.028
'Precedence(Feedback, Bye)';'Precedence';'Bye';'Feedback';24.613;6.078;6.072
'AlternatePrecedence(Feedback, Bye)';'AlternatePrecedence';'Bye';'Feedback';24.426;6.031;6.026
'ChainPrecedence(Feedback, Bye)';'ChainPrecedence';'Bye';'Feedback';0.000;0.000;0.000
'Precedence(Hello, Bye)';'Precedence';'Bye';'Hello';4.313;0.185;0.185
'AlternatePrecedence(Hello, Bye)';'AlternatePrecedence';'Bye';'Hello';4.266;0.183;0.183
'ChainPrecedence(Hello, Bye)';'ChainPrecedence';'Bye';'Hello';0.000;0.000;0.000
'Precedence(Query, Bye)';'Precedence';'Bye';'Query';99.672;99.389;99.296
'AlternatePrecedence(Query, Bye)';'AlternatePrecedence';'Bye';'Query';99.015;98.735;98.642
'ChainPrecedence(Query, Bye)';'ChainPrecedence';'Bye';'Query';0.000;0.000;0.000
'Precedence(Request, Bye)';'Precedence';'Bye';'Request';100.000;100.000;99.906
'AlternatePrecedence(Request, Bye)';'AlternatePrecedence';'Bye';'Request';99.625;99.625;99.531
'ChainPrecedence(Request, Bye)';'ChainPrecedence';'Bye';'Request';2.110;2.110;2.108
'Precedence(Response, Bye)';'Precedence';'Bye';'Response';42.147;17.810;17.793
'AlternatePrecedence(Response, Bye)';'AlternatePrecedence';'Bye';'Response';41.960;17.731;17.714
'ChainPrecedence(Response, Bye)';'ChainPrecedence';'Bye';'Response';3.282;1.387;1.385
'AtMostOne(Feedback)';'AtMostOne';'Feedback';'';92.682;22.886;5.651
'End(Feedback)';'End';'Feedback';'';0.047;0.012;0.003
'Init(Feedback)';'Init';'Feedback';'';0.000;0.000;0.000
'Participation(Feedback)';'Participation';'Feedback';'';24.693;6.097;1.506
'Precedence(A, Feedback)';'Precedence';'Feedback';'A';30.779;29.965;7.399
'AlternatePrecedence(A, Feedback)';'AlternatePrecedence';'Feedback';'A';27.969;27.230;6.724
'ChainPrecedence(A, Feedback)';'ChainPrecedence';'Feedback';'A';16.092;15.666;3.869
'Precedence(Bye, Feedback)';'Precedence';'Feedback';'Bye';0.255;0.255;0.063
'AlternatePrecedence(Bye, Feedback)';'AlternatePrecedence';'Feedback';'Bye';0.255;0.255;0.063
'ChainPrecedence(Bye, Feedback)';'ChainPrecedence';'Feedback';'Bye';0.000;0.000;0.000
'CoExistence(Feedback, A)';'CoExistence';'Feedback';'A';29.972;7.401;7.205
'Succession(Feedback, A)';'Succession';'Feedback';'A';24.994;6.172;6.008
'AlternateSuccession(Feedback, A)';'AlternateSuccession';'Feedback';'A';5.696;1.407;1.369
'ChainSuccession(Feedback, A)';'ChainSuccession';'Feedback';'A';3.337;0.824;0.802
'RespondedExistence(Feedback, A)';'RespondedExistence';'Feedback';'A';89.655;22.139;21.553
'Response(Feedback, A)';'Response';'Feedback';'A';87.612;21.634;21.062
'AlternateResponse(Feedback, A)';'AlternateResponse';'Feedback';'A';69.987;17.282;16.825
'ChainResponse(Feedback, A)';'ChainResponse';'Feedback';'A';40.996;10.123;9.856
'NotChainSuccession(Feedback, A)';'NotChainSuccession';'Feedback';'A';96.663;23.869;23.238
'NotSuccession(Feedback, A)';'NotSuccession';'Feedback';'A';75.006;18.521;18.032
'NotCoExistence(Feedback, A)';'NotCoExistence';'Feedback';'A';70.028;17.292;16.835
'CoExistence(Feedback, Bye)';'CoExistence';'Feedback';'Bye';44.856;11.076;11.066
'Succession(Feedback, Bye)';'Succession';'Feedback';'Bye';44.787;11.059;11.049
'AlternateSuccession(Feedback, Bye)';'AlternateSuccession';'Feedback';'Bye';35.734;8.824;8.815
'ChainSuccession(Feedback, Bye)';'ChainSuccession';'Feedback';'Bye';0.000;0.000;0.000
'RespondedExistence(Feedback, Bye)';'RespondedExistence';'Feedback';'Bye';99.745;24.630;24.607
'Response(Feedback, Bye)';'Response';'Feedback';'Bye';99.745;24.630;24.607
'AlternateResponse(Feedback, Bye)';'AlternateResponse';'Feedback';'Bye';66.539;16.431;16.415
'ChainResponse(Feedback, Bye)';'ChainResponse';'Feedback';'Bye';0.000;0.000;0.000
'NotChainSuccession(Feedback, Bye)';'NotChainSuccession';'Feedback';'Bye';100.000;24.693;24.670
'NotSuccession(Feedback, Bye)';'NotSuccession';'Feedback';'Bye';55.213;13.634;13.621
'NotCoExistence(Feedback, Bye)';'NotCoExistence';'Feedback';'Bye';55.144;13.617;13.604
'CoExistence(Feedback, Hello)';'CoExistence';'Feedback';'Hello';6.621;0.284;0.070
'Succession(Feedback, Hello)';'Succession';'Feedback';'Hello';1.142;0.049;0.012
'AlternateSuccession(Feedback, Hello)';'AlternateSuccession';'Feedback';'Hello';1.142;0.049;0.012
'ChainSuccession(Feedback, Hello)';'ChainSuccession';'Feedback';'Hello';0.000;0.000;0.000
'RespondedExistence(Feedback, Hello)';'RespondedExistence';'Feedback';'Hello';4.470;1.104;0.047
'Response(Feedback, Hello)';'Response';'Feedback';'Hello';0.639;0.158;0.007
'AlternateResponse(Feedback, Hello)';'AlternateResponse';'Feedback';'Hello';0.639;0.158;0.007
'ChainResponse(Feedback, Hello)';'ChainResponse';'Feedback';'Hello';0.000;0.000;0.000
'NotChainSuccession(Feedback, Hello)';'NotChainSuccession';'Feedback';'Hello';100.000;4.297;1.061
'NotSuccession(Feedback, Hello)';'NotSuccession';'Feedback';'Hello';98.858;4.247;1.049
'NotCoExistence(Feedback, Hello)';'NotCoExistence';'Feedback';'Hello';93.379;4.012;0.991
'CoExistence(Feedback, Query)';'CoExistence';'Feedback';'Query';32.241;7.961;7.939
'Succession(Feedback, Query)';'Succession';'Feedback';'Query';19.666;4.856;4.842
'AlternateSuccession(Feedback, Query)';'AlternateSuccession';'Feedback';'Query';9.379;2.316;2.309
'ChainSuccession(Feedback, Query)';'ChainSuccession';'Feedback';'Query';0.941;0.232;0.232
'RespondedExistence(Feedback, Query)';'RespondedExistence';'Feedback';'Query';100.000;24.693;24.623
'Response(Feedback, Query)';'Response';'Feedback';'Query';84.291;20.814;20.755
'AlternateResponse(Feedback, Query)';'AlternateResponse';'Feedback';'Query';73.819;18.228;18.176
'ChainResponse(Feedback, Query)';'ChainResponse';'Feedback';'Query';7.407;1.829;1.824
'NotChainSuccession(Feedback, Query)';'NotChainSuccession';'Feedback';'Query';99.059;24.461;24.391
'NotSuccession(Feedback, Query)';'NotSuccession';'Feedback';'Query';80.334;19.837;19.781
'NotCoExistence(Feedback, Query)';'NotCoExistence';'Feedback';'Query';67.759;16.732;16.684
'CoExistence(Feedback, Request)';'CoExistence';'Feedback';'Request';44.955;11.101;11.101
'Succession(Feedback, Request)';'Succession';'Feedback';'Request';15.604;3.853;3.853
'AlternateSuccession(Feedback, Request)';'AlternateSuccession';'Feedback';'Request';11.473;2.833;2.833
'ChainSuccession(Feedback, Request)';'ChainSuccession';'Feedback';'Request';7.668;1.894;1.894
'RespondedExistence(Feedback, Request)';'RespondedExistence';'Feedback';'Request';100.000;24.693;24.693
'Response(Feedback, Request)';'Response';'Feedback';'Request';49.681;12.268;12.268
'AlternateResponse(Feedback, Request)';'AlternateResponse';'Feedback';'Request';49.298;12.173;12.173
'ChainResponse(Feedback, Request)';'ChainResponse';'Feedback';'Request';32.950;8.136;8.136
'NotChainSuccession(Feedback, Request)';'NotChainSuccession';'Feedback';'Request';92.332;22.800;22.800
'NotSuccession(Feedback, Request)';'NotSuccession';'Feedback';'Request';84.396;20.840;20.840
'NotCoExistence(Feedback, Request)';'NotCoExistence';'Feedback';'Request';55.045;13.592;13.592
'CoExistence(Feedback, Response)';'CoExistence';'Feedback';'Response';53.115;13.116;5.542
'Succession(Feedback, Response)';'Succession';'Feedback';'Response';31.332;7.737;3.269
'AlternateSuccession(Feedback, Response)';'AlternateSuccession';'Feedback';'Response';19.097;4.716;1.993
'ChainSuccession(Feedback, Response)';'ChainSuccession';'Feedback';'Response';10.817;2.671;1.129
'RespondedExistence(Feedback, Response)';'RespondedExistence';'Feedback';'Response';65.773;16.241;6.863
'Response(Feedback, Response)';'Response';'Feedback';'Response';39.719;9.808;4.144
'AlternateResponse(Feedback, Response)';'AlternateResponse';'Feedback';'Response';32.695;8.073;3.412
'ChainResponse(Feedback, Response)';'ChainResponse';'Feedback';'Response';18.519;4.573;1.932
'NotChainSuccession(Feedback, Response)';'NotChainSuccession';'Feedback';'Response';89.183;22.022;9.306
'NotSuccession(Feedback, Response)';'NotSuccession';'Feedback';'Response';68.668;16.956;7.165
'NotCoExistence(Feedback, Response)';'NotCoExistence';'Feedback';'Response';46.885;11.577;4.892
'Precedence(Hello, Feedback)';'Precedence';'Feedback';'Hello';3.959;0.170;0.042
'AlternatePrecedence(Hello, Feedback)';'AlternatePrecedence';'Feedback';'Hello';2.682;0.115;0.028
'ChainPrecedence(Hello, Feedback)';'ChainPrecedence';'Feedback';'Hello';0.000;0.000;0.000
'Precedence(Query, Feedback)';'Precedence';'Feedback';'Query';90.166;89.911;22.202
'AlternatePrecedence(Query, Feedback)';'AlternatePrecedence';'Feedback';'Query';77.778;77.557;19.151
'ChainPrecedence(Query, Feedback)';'ChainPrecedence';'Feedback';'Query';0.000;0.000;0.000
'Precedence(Request, Feedback)';'Precedence';'Feedback';'Request';100.000;100.000;24.693
'AlternatePrecedence(Request, Feedback)';'AlternatePrecedence';'Feedback';'Request';93.487;93.487;23.085
'ChainPrecedence(Request, Feedback)';'ChainPrecedence';'Feedback';'Request';79.438;79.438;19.616
'Precedence(Response, Feedback)';'Precedence';'Feedback';'Response';46.360;19.590;4.837
'AlternatePrecedence(Response, Feedback)';'AlternatePrecedence';'Feedback';'Response';36.143;15.273;3.771
'ChainPrecedence(Response, Feedback)';'ChainPrecedence';'Feedback';'Response';4.470;1.889;0.466
'AtMostOne(Hello)';'AtMostOne';'Hello';'';99.906;4.292;0.184
'End(Hello)';'End';'Hello';'';0.000;0.000;0.000
'Init(Hello)';'Init';'Hello';'';0.000;0.000;0.000
'Participation(Hello)';'Participation';'Hello';'';4.297;0.185;0.008
'Precedence(A, Hello)';'Precedence';'Hello';'A';4.301;4.187;0.180
'AlternatePrecedence(A, Hello)';'AlternatePrecedence';'Hello';'A';4.301;4.187;0.180
'ChainPrecedence(A, Hello)';'ChainPrecedence';'Hello';'A';2.151;2.094;0.090
'Precedence(Bye, Hello)';'Precedence';'Hello';'Bye';0.000;0.000;0.000
'AlternatePrecedence(Bye, Hello)';'AlternatePrecedence';'Hello';'Bye';0.000;0.000;0.000
'ChainPrecedence(Bye, Hello)';'ChainPrecedence';'Hello';'Bye';0.000;0.000;0.000
'Precedence(Feedback, Hello)';'Precedence';'Hello';'Feedback';5.376;1.328;0.057
'AlternatePrecedence(Feedback, Hello)';'AlternatePrecedence';'Hello';'Feedback';5.376;1.328;0.057
'ChainPrecedence(Feedback, Hello)';'ChainPrecedence';'Hello';'Feedback';0.000;0.000;0.000
'CoExistence(Hello, A)';'CoExistence';'Hello';'A';4.922;0.211;0.206
'Succession(Hello, A)';'Succession';'Hello';'A';4.857;0.209;0.203
'AlternateSuccession(Hello, A)';'AlternateSuccession';'Hello';'A';0.981;0.042;0.041
'ChainSuccession(Hello, A)';'ChainSuccession';'Hello';'A';0.011;0.000;0.000
'RespondedExistence(Hello, A)';'RespondedExistence';'Hello';'A';97.849;4.204;4.093
'Response(Hello, A)';'Response';'Hello';'A';97.849;4.204;4.093
'AlternateResponse(Hello, A)';'AlternateResponse';'Hello';'A';97.849;4.204;4.093
'ChainResponse(Hello, A)';'ChainResponse';'Hello';'A';1.075;0.046;0.045
'NotChainSuccession(Hello, A)';'NotChainSuccession';'Hello';'A';99.989;4.296;4.182
'NotSuccession(Hello, A)';'NotSuccession';'Hello';'A';95.143;4.088;3.980
'NotCoExistence(Hello, A)';'NotCoExistence';'Hello';'A';95.078;4.085;3.977
'CoExistence(Hello, Bye)';'CoExistence';'Hello';'Bye';8.311;0.357;0.357
'Succession(Hello, Bye)';'Succession';'Hello';'Bye';8.311;0.357;0.357
'AlternateSuccession(Hello, Bye)';'AlternateSuccession';'Hello';'Bye';8.176;0.351;0.351
'ChainSuccession(Hello, Bye)';'ChainSuccession';'Hello';'Bye';0.000;0.000;0.000
'RespondedExistence(Hello, Bye)';'RespondedExistence';'Hello';'Bye';100.000;4.297;4.292
'Response(Hello, Bye)';'Response';'Hello';'Bye';100.000;4.297;4.292
'AlternateResponse(Hello, Bye)';'AlternateResponse';'Hello';'Bye';97.849;4.204;4.200
'ChainResponse(Hello, Bye)';'ChainResponse';'Hello';'Bye';0.000;0.000;0.000
'NotChainSuccession(Hello, Bye)';'NotChainSuccession';'Hello';'Bye';100.000;4.297;4.292
'NotSuccession(Hello, Bye)';'NotSuccession';'Hello';'Bye';91.689;3.939;3.936
'NotCoExistence(Hello, Bye)';'NotCoExistence';'Hello';'Bye';91.689;3.939;3.936
'CoExistence(Hello, Feedback)';'CoExistence';'Hello';'Feedback';6.621;0.284;0.070
'Succession(Hello, Feedback)';'Succession';'Hello';'Feedback';5.936;0.255;0.063
'AlternateSuccession(Hello, Feedback)';'AlternateSuccession';'Hello';'Feedback';4.795;0.206;0.051
'ChainSuccession(Hello, Feedback)';'ChainSuccession';'Hello';'Feedback';0.000;0.000;0.000
'RespondedExistence(Hello, Feedback)';'RespondedExistence';'Hello';'Feedback';24.731;1.063;0.262
'Response(Hello, Feedback)';'Response';'Hello';'Feedback';22.581;0.970;0.240
'AlternateResponse(Hello, Feedback)';'AlternateResponse';'Hello';'Feedback';22.581;0.970;0.240
'ChainResponse(Hello, Feedback)';'ChainResponse';'Hello';'Feedback';0.000;0.000;0.000
'NotChainSuccession(Hello, Feedback)';'NotChainSuccession';'Hello';'Feedback';100.000;4.297;1.061
